('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    336/1    0.007    0.000    2.970    2.970 {built-in method builtins.exec}
        1    0.000    0.000    2.970    2.970 financial_enhanced.py:1(<module>)
        1    0.000    0.000    2.800    2.800 financial_enhanced.py:69(main)
        1    0.000    0.000    2.800    2.800 financial_enhanced.py:7(get_financial_data)
        1    0.000    0.000    2.510    2.510 _client.py:1036(get)
        1    0.000    0.000    2.510    2.510 _client.py:771(request)
        1    0.000    0.000    2.509    2.509 _client.py:879(send)
      258    0.002    0.000    2.314    0.009 http11.py:209(_receive_event)
      305    0.001    0.000    2.300    0.008 sync.py:124(read)
      305    0.000    0.000    2.297    0.008 ssl.py:1226(recv)
      305    0.000    0.000    2.297    0.008 ssl.py:1095(read)
      305    2.296    0.008    2.296    0.008 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.259    1.259 _models.py:876(read)
        5    0.002    0.000    1.259    0.252 {method 'join' of 'bytes' objects}
      257    0.000    0.000    1.258    0.005 _models.py:884(iter_bytes)
        1    0.000    0.000    1.250    1.250 _client.py:930(_send_handling_auth)
        1    0.000    0.000    1.250    1.250 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    1.250    1.250 _client.py:1001(_send_single_request)
      257    0.000    0.000    1.250    0.005 _models.py:935(iter_raw)
      257    0.000    0.000    1.249    0.005 _client.py:152(__iter__)
      257    0.000    0.000    1.249    0.005 default.py:125(__iter__)
      257    0.000    0.000    1.249    0.005 connection_pool.py:401(__iter__)
      257    0.000    0.000    1.249    0.005 http11.py:330(__iter__)
      257    0.001    0.000    1.249    0.005 http11.py:196(_receive_response_body)
        1    0.000    0.000    1.249    1.249 default.py:230(handle_request)
        1    0.000    0.000    1.248    1.248 connection_pool.py:199(handle_request)
